timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/07/27 15:21:26.556, 0, NVIDIA H100, 27 MiB, 95830 MiB, 0 %
2026/07/27 15:21:31.558, 0, NVIDIA H100, 27 MiB, 95830 MiB, 0 %
